date_from,date_till,Alpha,R.1,Delta,other
2020-12-01,2020-12-01,0,3,0,150
2020-12-02,2020-12-02,0,1,0,166
2020-12-03,2020-12-03,0,1,0,145
2020-12-04,2020-12-04,0,0,0,154
2020-12-05,2020-12-05,0,0,0,112
2020-12-06,2020-12-06,0,0,0,102
2020-12-07,2020-12-07,0,1,0,176
2020-12-08,2020-12-08,0,2,0,187
2020-12-09,2020-12-09,0,0,0,176
2020-12-10,2020-12-10,0,0,0,194
2020-12-11,2020-12-11,0,1,0,186
2020-12-12,2020-12-12,0,0,0,130
2020-12-13,2020-12-13,0,0,0,95
2020-12-14,2020-12-14,0,0,0,215
2020-12-15,2020-12-15,2,0,0,187
2020-12-16,2020-12-16,0,0,0,131
2020-12-17,2020-12-17,0,1,0,107
2020-12-18,2020-12-18,0,0,0,130
2020-12-19,2020-12-19,1,0,0,99
2020-12-20,2020-12-20,0,0,0,80
2020-12-21,2020-12-21,2,0,0,218
2020-12-22,2020-12-22,0,0,0,159
2020-12-23,2020-12-23,0,0,0,137
2020-12-24,2020-12-24,0,1,0,162
2020-12-25,2020-12-25,0,2,0,141
2020-12-26,2020-12-26,0,0,0,121
2020-12-27,2020-12-27,0,0,0,115
2020-12-28,2020-12-28,0,2,0,211
2020-12-29,2020-12-29,0,5,0,146
2020-12-30,2020-12-30,0,0,0,174
2020-12-31,2020-12-31,0,0,0,137
2021-01-01,2021-01-01,0,2,0,84
2021-01-02,2021-01-02,0,8,0,165
2021-01-03,2021-01-03,1,3,0,167
2021-01-04,2021-01-04,0,7,0,372
2021-01-05,2021-01-05,4,4,0,292
2021-01-06,2021-01-06,1,10,0,339
2021-01-07,2021-01-07,1,12,0,390
2021-01-08,2021-01-08,2,17,0,307
2021-01-09,2021-01-09,0,3,0,195
2021-01-10,2021-01-10,1,5,0,164
2021-01-11,2021-01-11,1,1,0,168
2021-01-12,2021-01-12,1,21,0,345
2021-01-13,2021-01-13,0,52,0,277
2021-01-14,2021-01-14,2,16,0,265
2021-01-15,2021-01-15,4,13,0,224
2021-01-16,2021-01-16,4,4,0,214
2021-01-17,2021-01-17,0,7,0,142
2021-01-18,2021-01-18,2,19,0,346
2021-01-19,2021-01-19,5,7,0,191
2021-01-20,2021-01-20,6,1,0,206
2021-01-21,2021-01-21,5,7,0,175
2021-01-22,2021-01-22,6,10,0,207
2021-01-23,2021-01-23,5,17,0,106
2021-01-24,2021-01-24,1,10,0,112
2021-01-25,2021-01-25,7,39,0,296
2021-01-26,2021-01-26,8,36,0,159
2021-01-27,2021-01-27,4,22,0,182
2021-01-28,2021-01-28,8,15,0,131
2021-01-29,2021-01-29,15,17,0,109
2021-01-30,2021-01-30,4,5,0,91
2021-01-31,2021-01-31,6,2,0,76
2021-02-01,2021-02-01,11,20,0,200
2021-02-02,2021-02-02,4,15,0,120
2021-02-03,2021-02-03,12,20,0,106
2021-02-04,2021-02-04,11,18,0,102
2021-02-05,2021-02-05,3,32,0,84
2021-02-06,2021-02-06,0,4,0,64
2021-02-07,2021-02-07,4,10,0,34
2021-02-08,2021-02-08,12,38,0,117
2021-02-09,2021-02-09,12,6,0,99
2021-02-10,2021-02-10,8,11,0,95
2021-02-11,2021-02-11,7,1,0,29
2021-02-12,2021-02-12,10,11,0,66
2021-02-13,2021-02-13,2,4,0,50
2021-02-14,2021-02-14,3,2,0,45
2021-02-15,2021-02-15,10,38,0,92
2021-02-16,2021-02-16,3,10,0,92
